MatchID,StadiumID,Stadium,HomeTeam,RNScore,Overs,Wickets,Output
1304047,58324,167,1,8,1.3,0,73
1304047,58324,167,1,8,1.4,0,73
1304047,58324,167,1,8,1.5,0,73
1304047,58324,167,1,8,2,0,73
1304047,58324,167,1,8,2.1,0,73
1304047,58324,167,1,8,2.2,0,73
1304047,58324,167,1,9,2.3,0,73
1304047,58324,167,1,11,2.4,0,73
1304047,58324,167,1,15,2.5,0,73
1304047,58324,167,1,15,3,0,73
1304047,58324,167,1,15,3.1,0,73
1304047,58324,167,1,15,3.2,0,73
1304047,58324,167,1,15,3.3,0,73
1304047,58324,167,1,19,3.4,0,73
1304047,58324,167,1,19,3.5,0,73
1304047,58324,167,1,25,4,0,73
1304047,58324,167,1,25,4.1,0,73
1304047,58324,167,1,29,4.2,0,73
1304047,58324,167,1,30,4.3,0,73
1304047,58324,167,1,30,4.4,0,73
1304047,58324,167,1,34,4.5,0,73
1304047,58324,167,1,35,5,0,73
1304047,58324,167,1,39,5.1,0,73
1304047,58324,167,1,40,5.2,0,73
1304047,58324,167,1,42,5.3,0,73
1304047,58324,167,1,43,5.4,0,73
1304047,58324,167,1,43,5.5,0,73
1304047,58324,167,1,43,6,0,73
1304047,58324,167,1,43,6.1,0,73
1304047,58324,167,1,43,6.2,1,73
1304047,58324,167,1,43,6.3,1,73
1304047,58324,167,1,43,6.4,1,73
1304047,58324,167,1,43,6.5,1,73
1304047,58324,167,1,44,7,1,73
1304047,58324,167,1,48,7.1,1,73
1304047,58324,167,1,49,7.2,1,73
1304047,58324,167,1,50,7.3,1,73
1304047,58324,167,1,54,7.4,1,73
1304047,58324,167,1,58,7.5,1,73
1304047,58324,167,1,59,8,1,73
1304047,58324,167,1,65,8.1,1,73
1304047,58324,167,1,66,8.2,1,73
1304047,58324,167,1,67,8.3,1,73
1304047,58324,167,1,68,8.4,1,73
1304047,58324,167,1,69,8.5,1,73
1304047,58324,167,1,70,9,1,73
1304047,58324,167,1,71,9.1,1,73
1304047,58324,167,1,75,9.2,1,73
1304047,58324,167,1,76,9.3,1,73
1304047,58324,167,1,76,9.4,1,73
1304047,58324,167,1,76,9.5,1,73
1304047,58324,167,1,76,10,2,73
1304047,58324,167,1,76,10.1,2,73
1304047,58324,167,1,77,10.2,2,73
1304047,58324,167,1,78,10.3,2,73
1304047,58324,167,1,82,10.4,2,73
1304047,58324,167,1,83,10.5,2,73
1304047,58324,167,1,83,11,2,73
1304047,58324,167,1,84,11.1,2,73
1304047,58324,167,1,85,11.2,2,73
1304047,58324,167,1,87,11.3,2,73
1304047,58324,167,1,87,11.4,3,73
1304047,58324,167,1,88,11.5,3,73
1304047,58324,167,1,90,12,3,73
1304047,58324,167,1,91,12.1,3,73
1304047,58324,167,1,92,12.2,3,73
1304047,58324,167,1,92,12.3,3,73
1304047,58324,167,1,92,12.4,3,73
1304047,58324,167,1,93,12.5,3,73
1304047,58324,167,1,93,13,3,73
